year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
1994,0.00456819,0.00456819,0.01219774,0.01728410,0.02237046,0.02618523,0.01474092,0.01982728,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1995,0.38419770,0.38419770,0.27793839,0.20709885,0.13625931,0.08312965,0.24251862,0.17167908,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1996,0.23562918,0.23562918,0.17394043,0.13281459,0.09168875,0.06084438,0.15337751,0.11225167,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1997,0.31771494,0.31771494,0.23140046,0.17385747,0.11631448,0.07315724,0.20262896,0.14508598,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1998,0.25492461,0.25492461,0.18744722,0.14246230,0.09747738,0.06373869,0.16495476,0.11996984,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1999,0.21557990,0.21557990,0.15990593,0.12278995,0.08567397,0.05783698,0.14134794,0.10423196,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2000,-0.05754530,-0.05754530,-0.03128171,-0.01377265,0.00373641,0.01686820,-0.02252718,-0.00501812,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2001,-0.12820682,-0.12820682,-0.08074478,-0.04910341,-0.01746205,0.00626898,-0.06492409,-0.03328273,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2002,-0.20186081,-0.20186081,-0.13230257,-0.08593041,-0.03955824,-0.00477912,-0.10911649,-0.06274432,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2003,0.22263034,0.22263034,0.16484124,0.12631517,0.08778910,0.05889455,0.14557821,0.10705214,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
2004,0.12816034,0.12816034,0.09871224,0.07908017,0.05944810,0.04472405,0.08889620,0.06926413,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
